epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.03532,2.30124,3.93501,2.67196,0.00183,0.5,0.00774,0.00217,2.87663,5.23844,3.66795,1.25e-05,1.25e-05,1.25e-05
2,12.9223,2.31173,3.99498,2.50895,0.00181,0.5,0.0124,0.00372,2.50169,5.11579,3.35246,3.56437e-05,3.56437e-05,3.56437e-05
3,17.0481,2.36232,3.92831,2.57025,0.00229,0.75,0.03516,0.01055,1.98449,5.00479,3.00389,5.63125e-05,5.63125e-05,5.63125e-05
4,21.5485,2.41813,3.92819,2.78715,0.00355,1,0.03885,0.00538,1.87056,4.96493,2.84022,7.45062e-05,7.45062e-05,7.45062e-05
5,26.5539,2.29768,3.91061,2.48128,0.00356,1,0.03285,0.00782,1.88636,4.85593,2.73075,9.0225e-05,9.0225e-05,9.0225e-05
6,31.8567,2.12577,3.85244,2.35009,0.00363,1,0.26837,0.08172,1.87576,4.98544,2.64458,0.000103469,0.000103469,0.000103469
7,36.9715,1.88899,3.69789,2.15167,0.0037,1,0.07004,0.02358,1.77327,4.82512,2.38002,0.000114238,0.000114238,0.000114238
8,42.2349,1.9541,3.85389,2.12401,0.00386,1,0.10338,0.03571,1.88531,4.51519,2.30174,0.000122531,0.000122531,0.000122531
9,48.7908,1.89617,3.67374,2.07872,0.00412,1,0.10609,0.04519,1.73755,4.74652,2.29291,0.00012835,0.00012835,0.00012835
10,53.4839,1.82954,3.65956,2.0264,0.0045,1,0.14146,0.06899,1.64277,4.6912,2.17953,0.000131694,0.000131694,0.000131694
11,58.0511,1.98517,4.3618,2.32013,0.00483,1,0.14936,0.07121,1.67988,4.52766,2.13013,0.000132563,0.000132563,0.000132563
12,62.5546,1.89323,4.32422,2.3126,0.00483,1,0.14936,0.07121,1.67988,4.52766,2.13013,0.000130956,0.000130956,0.000130956
13,67.0627,1.82475,4.21093,2.12802,0.00545,1,0.18311,0.10848,1.58481,4.41708,2.03957,0.000126875,0.000126875,0.000126875
14,71.4173,1.88222,4.42906,2.11225,0.00615,1,0.26395,0.14534,1.55309,4.4381,2.00551,0.000120319,0.000120319,0.000120319
15,75.9513,1.80297,4.13218,2.00777,0.00615,1,0.26395,0.14534,1.55309,4.4381,2.00551,0.000111288,0.000111288,0.000111288
16,80.3836,1.72929,4.11098,2.10949,0.00651,1,0.36276,0.16117,1.49794,4.36494,1.94399,9.97813e-05,9.97813e-05,9.97813e-05
17,84.8155,1.77603,4.01625,2.10912,0.00672,1,0.54725,0.26319,1.45165,4.26444,1.9019,8.58e-05,8.58e-05,8.58e-05
18,89.2732,1.79949,4.05741,2.06871,0.00672,1,0.54725,0.26319,1.45165,4.26444,1.9019,6.93438e-05,6.93438e-05,6.93438e-05
19,93.7195,1.70664,4.0671,1.99458,0.00698,1,0.50579,0.28047,1.4659,4.17869,1.89146,5.04125e-05,5.04125e-05,5.04125e-05
20,98.1748,1.67647,4.12493,2.05843,0.00698,1,0.50579,0.28047,1.4659,4.17869,1.89146,2.90063e-05,2.90063e-05,2.90063e-05
